movie,production_budget,domestic_gross,worldwide_gross,mpaa_rating,genre
The Insider,68000000,28965197,60265197,R,Drama
Downsizing,68000000,24449754,48681134,R,Comedy
Doctor Seuss' The Lorax,67500000,214030500,350976753,PG,Adventure
Abraham Lincoln: Vampire Hunter,67500000,37519139,137489730,R,Horror
Last Man Standing,67000000,18115927,18115927,R,Action
The Last Legion,67000000,5932060,25357771,PG-13,Action
The X Files: Fight the Future,66000000,83898313,189176423,PG-13,Action
Need for Speed,66000000,43568507,194169619,PG-13,Action
Saving Private Ryan,65000000,216335085,485035085,R,Drama
Lincoln,65000000,182207973,273346281,PG-13,Drama
Ice Age,65000000,176387405,386116343,PG,Adventure
Apollo 13,65000000,173772767,335802271,PG,Drama
The Matrix,65000000,171479930,463517383,R,Action
The Santa Clause 2,65000000,139225854,172825854,G,Adventure
Total Recall,65000000,119394839,261400000,R,Action
You've Got Mail,65000000,115821495,250800000,PG,Drama
Unbroken,65000000,115637895,163527824,PG-13,Drama
Spy!,65000000,110825712,233121406,R,Comedy
Due Date,65000000,100539043,211739043,R,Comedy
Step Brothers,65000000,100468793,128468793,R,Comedy
Jumanji,65000000,100458310,262758310,PG,Adventure
The Mask of Zorro,65000000,93828745,233700000,PG-13,Adventure
Space Cowboys,65000000,90454043,128874043,PG-13,Adventure
Cliffhanger,65000000,84049211,255000000,R,Action
Pete’s Dragon,65000000,76233151,137768975,PG,Adventure
Broken Arrow,65000000,70645997,148345997,R,Action
World Trade Center,65000000,70278893,163295654,PG-13,Drama
The Kid,65000000,69688384,69688384,PG,Comedy
Mona Lisa Smile,65000000,63803100,141205169,PG-13,Drama
The Dictator,65000000,59650222,180148897,R,Comedy
Eyes Wide Shut,65000000,55691208,104267443,R,Drama
Blade: Trinity,65000000,52397389,131353165,R,Action
We Are Marshall,65000000,43545364,43545364,PG,Drama
Resident Evil: Retribution,65000000,42345531,238940997,R,Action
Primary Colors,65000000,39017984,39017984,R,Comedy
Fight Club,65000000,37030102,100851705,R,Drama
Death Race,65000000,36316032,72516819,R,Action
The Long Kiss Goodnight,65000000,33447612,33447612,R,Action
Proof of Life,65000000,32598931,62761005,R,Action
Zathura,65000000,28045540,58545540,PG,Adventure
Elektra,65000000,24409722,56824633,PG-13,Action
Astro Boy,65000000,19551067,41636243,PG,Adventure
Hudson Hawk,65000000,17218916,17218916,R,Action
Sin City: A Dame to Kill For,65000000,13757804,40650842,R,Action
Live by Night,65000000,10378555,21778555,R,Drama
Lucky Numbers,65000000,10014234,10014234,R,Comedy
Oliver Twist,65000000,2070920,26670920,PG-13,Drama
Tian jiang xiong shi,65000000,74070,122519874,R,Action
Little Man,64000000,58636047,101636047,PG-13,Comedy
Random Hearts,64000000,31054924,63200000,R,Drama
Perfume: The Story of a Murderer,63700000,2223293,133603463,R,Drama
Jurassic Park,63000000,395708305,1038812584,PG-13,Action
Austin Powers in Goldmember,63000000,213117789,296338663,PG-13,Comedy
Hop,63000000,108085305,188657593,PG,Adventure
Clear and Present Danger,62000000,122012656,207500000,PG-13,Action
U-571,62000000,77086030,127630030,PG-13,Action
The Love Guru,62000000,32235793,40159017,PG-13,Comedy
3000 Miles to Graceland,62000000,15738632,18708848,R,Drama
Blades of Glory,61000000,118594548,145594548,PG-13,Comedy
2 Guns,61000000,75612460,132493015,R,Action
Meet the Fockers,60000000,279167575,516567575,PG-13,Comedy
The Lego Movie,60000000,257784718,457729388,PG,Adventure
Wild Hogs,60000000,168213584,253555383,PG-13,Comedy
Marley & Me,60000000,143153751,247812011,PG,Comedy
The Green Mile,60000000,136801374,290701374,R,Drama
Chicken Little,60000000,135386665,310043823,G,Adventure
The Truman Show,60000000,125618201,264118201,PG,Drama
Sully,60000000,125070033,238552082,PG-13,Drama
Couples Retreat,60000000,109205660,172450423,PG-13,Comedy
Goldeneye,60000000,106429941,356429941,PG-13,Action
The Italian Job,60000000,106126012,176262839,PG-13,Adventure
Daddy Day Care,60000000,104148781,164285587,PG,Comedy
The General's Daughter,60000000,102705852,149705852,R,Drama
The Prince of Egypt,60000000,101413188,218613188,PG,Adventure
Collateral,60000000,100170152,217670152,R,Action
Cats & Dogs,60000000,93375151,200700000,PG,Comedy
Antz,60000000,90757863,152457863,PG,Adventure
The Scorpion King,60000000,90580000,165890634,PG-13,Action
Red,60000000,90380162,196439693,PG-13,Action
Starsky & Hutch,60000000,88200225,170200225,PG-13,Comedy
Days of Thunder,60000000,82670733,157670733,PG-13,Action
Cheaper by the Dozen 2,60000000,82571173,135015330,PG,Adventure
Eat Pray Love,60000000,80574010,206598789,PG-13,Drama
Jack Reacher,60000000,80070736,217370736,PG-13,Drama
The Family Man,60000000,75764085,124715863,PG-13,Comedy
Any Given Sunday,60000000,75530832,100230832,R,Drama
The Horse Whisperer,60000000,75383563,186883563,PG-13,Drama
Coraline,60000000,75286229,126037057,PG,Adventure
Ladder 49,60000000,74541707,102332848,PG-13,Action
Deep Blue Sea,60000000,73648228,165048228,R,Action
Kangaroo Jack,60000000,66723216,90723216,PG,Adventure
London Has Fallen,60000000,62524260,194094168,R,Action
The Shaggy Dog,60000000,61123569,87123569,PG,Comedy
Jingle All the Way,60000000,60592389,129832389,PG,Adventure
Hellboy,60000000,59623958,99823958,PG-13,Action
Jack Reacher: Never Go Back,60000000,58697076,160038407,PG-13,Action
Baywatch,60000000,58060186,176023296,R,Comedy
A Civil Action,60000000,56709981,56709981,PG-13,Drama
Joy,60000000,56451232,101134059,PG-13,Drama
ParaNorman,60000000,56003051,108119662,PG,Adventure
Up Close & Personal,60000000,51045801,100645801,PG-13,Drama
The Tale of Despereaux,60000000,50877145,90482317,G,Adventure
The Boxtrolls,60000000,50837305,111946251,PG,Adventure
The Tuxedo,60000000,50586000,104429625,PG-13,Action
Jack Ryan: Shadow Recruit,60000000,50577412,131377412,PG-13,Action
Under Siege 2: Dark Territory,60000000,50024083,104324083,R,Action
Alien: Resurrection,60000000,47795018,160700000,R,Action
Practical Magic,60000000,46850558,68336997,PG-13,Comedy
Gangster Squad,60000000,46000903,104100903,R,Drama
Smurfs: The Lost Village,60000000,45020282,197422438,PG,Adventure
Year One,60000000,43337279,57604723,PG-13,Comedy
Edge of Darkness,60000000,43313890,82812456,R,Drama
Star Trek: Nemesis,60000000,43254409,67312826,PG-13,Adventure
Reign of Fire,60000000,43061982,82150183,PG-13,Action
Planet 51,60000000,42194060,108996113,PG,Adventure
Invictus,60000000,37491364,124514011,PG-13,Drama
My Favorite Martian,60000000,36850101,36850101,PG,Comedy
Trouble with the Curve,60000000,35763137,47818913,PG-13,Drama
The Relic,60000000,33956608,33956608,R,Horror
Almost Famous,60000000,32522352,47371191,R,Comedy
Analyze That,60000000,32122249,54994757,R,Comedy
The Soloist,60000000,31853584,38522450,PG-13,Drama
The Legend of Bagger Vance,60000000,30695227,39235486,PG-13,Drama
Dragonfly,60000000,30063805,30063805,PG-13,Drama
First Man,60000000,30000050,55500050,PG-13,Drama
Garfield: A Tail of Two Kitties,60000000,28426747,147985373,PG,Adventure
XXX: State of the Union,60000000,26873932,71073932,PG-13,Action
Event Horizon,60000000,26673242,26673242,R,Horror
Sinbad: Legend of the Seven Seas,60000000,26483452,80767884,PG,Adventure
EDtv,60000000,22508689,35319689,PG-13,Comedy
The Spirit,60000000,19806188,39006188,PG-13,Action
The Last Castle,60000000,18208078,20541668,R,Drama
Inkheart,60000000,17303424,66655938,PG,Adventure
Supernova,60000000,14218868,14816494,PG-13,Action
Flyboys,60000000,13090630,14816379,PG-13,Drama
Winter's Tale,60000000,12600231,22468620,PG-13,Drama
Holy Man,60000000,12069719,12069719,PG,Comedy
Meet Dave,60000000,11803254,50648806,PG,Adventure
The Great Raid,60000000,10166502,10597070,R,Action
Rock Dog,60000000,9420546,24152192,PG,Adventure
Mortdecai,60000000,7696134,30396134,R,Adventure
Beyond Borders,60000000,4426297,11427090,R,Drama
Sherlock Gnomes,59000000,43242871,87750965,PG,Adventure
Deadpool,58000000,363070709,801029249,R,Action
American Sniper,58000000,350126372,547326372,R,Drama
Goosebumps,58000000,80069458,158905324,PG,Horror
Rambo III,58000000,53715611,188715611,R,Action
Red Tails,58000000,49876377,50365498,PG-13,Action
The Internship,58000000,44672764,93672764,PG-13,Comedy
The Flintstones in Viva Rock Vegas,58000000,35231365,59431365,PG,Adventure
Sex and the City,57500000,152647258,415247258,R,Comedy
Resident Evil: Afterlife,57500000,60128566,295874190,R,Horror
That's My Boy,57500000,36931089,58085235,R,Comedy
Devil's Advocate,57000000,61007424,153007424,R,Drama
Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355,PG-13,Action
Dragonheart,57000000,51364680,104364680,PG-13,Adventure
After the Sunset,57000000,28328132,38329114,PG-13,Action
Captain Corelli's Mandolin,57000000,25528495,62097495,R,Drama
Anger Management,56000000,135560942,195660942,PG-13,Comedy
The Pacifier,56000000,113006880,198006880,PG,Comedy
Walking Tall,56000000,46213824,47313824,PG-13,Action
Forrest Gump,55000000,330151138,679850637,PG-13,Drama
Alvin and the Chipmunks,55000000,217326974,362605033,PG,Adventure
Meet the Parents,55000000,166225040,330425040,PG-13,Comedy
The Pursuit of Happyness,55000000,162586036,307311093,PG-13,Drama
Pocahontas,55000000,141579773,347100000,G,Adventure
Superman,55000000,134218018,300200000,PG,Adventure
The Nutty Professor,55000000,128814019,273814019,PG-13,Comedy
Fifty Shades Darker,55000000,114434010,381437482,R,Drama
Captain Phillips,55000000,107136417,220648184,PG-13,Drama
George Of The Jungle,55000000,105263257,174463257,PG,Adventure
American Wedding,55000000,104354205,126425115,R,Comedy
Murder on the Orient Express,55000000,102826543,345924923,PG-13,Drama
The Equalizer,55000000,101530738,192903624,R,Action
Fifty Shades Freed,55000000,100407760,371222158,R,Drama
Casper,55000000,100328194,282300000,PG,Comedy
Date Night,55000000,98711404,152269033,PG-13,Comedy
Crimson Tide,55000000,91387195,159387195,R,Action
Disclosure,55000000,83015089,212200000,R,Drama
City of Angels,55000000,78750909,198750909,PG-13,Drama
Paddington,55000000,76223578,258789097,PG,Adventure
R.V.,55000000,71724497,87473024,PG,Adventure
Stargate,55000000,71565669,196565669,PG-13,Action
Kill Bill: Volume 1,55000000,70098138,176469428,R,Action
Mr. Poppers's Penguins,55000000,68224452,189624452,PG,Adventure
Bowfinger,55000000,66458769,98699769,PG-13,Comedy
Kill Bill: Volume 2,55000000,66207920,153535982,R,Action
Tango & Cash,55000000,63408614,63408614,R,Action
Death Becomes Her,55000000,58422650,149022650,PG-13,Comedy
Free Birds,55000000,55750480,110387072,PG,Adventure
Alien 3,55000000,54927174,158500000,R,Action
The Forbidden Kingdom,55000000,52075270,129075270,PG-13,Action
Muppets Most Wanted,55000000,51178893,79312301,PG,Adventure
Kubo and the Two Strings,55000000,48023088,77548564,PG,Adventure
Ronin,55000000,41610884,70692101,R,Action
Burlesque,55000000,39440655,90552675,PG-13,Drama
The Ghost and the Darkness,55000000,38564422,38564422,R,Action
The Watch,55000000,34353000,67130045,R,Comedy
Instinct,55000000,34105207,34105207,R,Drama
Stuck On You,55000000,33832741,63537164,PG-13,Comedy
Semi-Pro,55000000,33479698,43980363,R,Comedy
Crimson Peak,55000000,31090320,75466595,R,Horror
The Pirates! Band of Misfits,55000000,31051126,136143605,PG,Adventure
Aeon Flux,55000000,25857987,53913573,PG-13,Action
Elizabeth: The Golden Age,55000000,16285240,74870866,PG-13,Drama
Imagine That,55000000,16222392,16222392,PG,Adventure
Gods and Generals,55000000,12882934,12923936,PG-13,Drama
Bullet to the Head,55000000,9489829,22597969,R,Action
All the King's Men,55000000,7221458,9521458,PG-13,Drama
Thunderbirds,55000000,6768055,28231444,PG,Adventure
Un long dimanche de fiançailles,55000000,6167817,69759296,R,Drama
Lucky You,55000000,5755286,6521829,PG-13,Drama
Lolita,55000000,1147784,1147784,R,Drama
Superman II,54000000,108185706,108185706,PG,Adventure
Blade 2,54000000,81676888,154338601,R,Action
Seven Pounds,54000000,69951824,166617328,PG-13,Drama
The Godfather: Part III,54000000,66520529,66520529,R,Drama
Elizabethtown,54000000,26850426,50719373,PG-13,Drama
The Dukes of Hazzard,53000000,80270227,109848461,PG-13,Comedy
Black Mass,53000000,62575678,98837872,R,Drama
Flags of Our Fathers,53000000,33602376,63657941,R,Drama
Grindhouse,53000000,25031037,50187789,R,Horror
Beloved,53000000,22852487,22852487,R,Drama
Zero Dark Thirty,52500000,95720716,134612435,R,Drama
Catch Me if You Can,52000000,164606800,355612291,PG-13,Drama
Casino,52000000,42438300,110400000,R,Drama
The Change-Up,52000000,37243418,75997067,R,Comedy
The Thin Red Line,52000000,36400491,97709034,R,Drama
Man on the Moon,52000000,34580635,47407635,R,Drama
Bulletproof Monk,52000000,23010607,23010607,PG-13,Action
Deck the Halls,51000000,35093569,46815807,PG,Comedy
The Twilight Saga: New Moon,50000000,296623634,687557727,PG-13,Drama
Shrek,50000000,267655011,491812794,PG,Adventure
Ted,50000000,218665740,556016627,R,Adventure
22 Jump Street,50000000,191719337,331333876,R,Comedy
Robin Hood: Prince of Thieves,50000000,165493908,390500000,PG-13,Adventure
Daddy’s Home,50000000,150357137,242757137,PG-13,Comedy
Patch Adams,50000000,135014968,202173000,PG-13,Comedy
Central Intelligence,50000000,127440871,217196811,PG-13,Comedy
Anchorman 2: The Legend Continues,50000000,127352707,172185754,PG-13,Comedy
Mr. Deeds,50000000,126293452,171269535,PG-13,Comedy
Erin Brockovich,50000000,125548685,257805243,R,Drama
Peter Rabbit,50000000,115234093,347134901,PG,Adventure
Yes Man,50000000,97690976,225990976,PG-13,Comedy
Non-Stop,50000000,91742160,222383055,PG-13,Action
Stepmom,50000000,91137662,159745279,PG-13,Drama
Disney Planes,50000000,90282580,238059569,PG,Adventure
The Emoji Movie,50000000,86089513,216508301,PG,Adventure
The Post,50000000,81903458,179769457,PG-13,Drama
Payback,50000000,81526121,161626121,R,Action
Congo,50000000,81022333,152022333,PG-13,Adventure
The Ring Two,50000000,75941727,161941727,PG-13,Horror
We Bought a Zoo,50000000,75624550,118729073,PG,Drama
Moneyball,50000000,75605492,111300835,PG-13,Drama
Garfield: The Movie,50000000,75367693,208094550,PG,Adventure
Christmas with the Kranks,50000000,73701902,96469187,PG,Comedy
V for Vendetta,50000000,70511035,130214162,R,Action
Race to Witch Mountain,50000000,67172595,105103784,PG,Adventure
Herbie: Fully Loaded,50000000,66010682,144110682,G,Adventure
Shanghai Knights,50000000,60470220,88316835,PG-13,Adventure
Planes: Fire and Rescue,50000000,59157732,156399644,PG,Adventure
Curious George,50000000,58640119,71052604,G,Adventure
American Reunion,50000000,56758835,236799211,R,Comedy
Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,R,Action
I am Number Four,50000000,55100437,146195159,PG-13,Adventure
Unfaithful,50000000,52752475,119114494,R,Drama
Resident Evil: Apocalypse,50000000,50740078,125168734,R,Horror
The Book of Life,50000000,50151543,97651543,PG,Adventure
G.I. Jane,50000000,48169156,48169156,R,Drama
The Judge,50000000,47119388,76119388,R,Drama
Silent Hill,50000000,46982632,94704227,R,Horror
The Replacements,50000000,44737059,50054511,PG-13,Comedy
The Negotiator,50000000,44705766,49105766,R,Action
War Dogs,50000000,43034523,86234523,R,Comedy
Beverly Hills Cop III,50000000,42586861,119180938,R,Action
Gremlins 2: The New Batch,50000000,41476097,41476097,PG-13,Comedy
The Peacemaker,50000000,41263140,62967368,R,Action
The Beach,50000000,39778599,39778599,R,Drama
On Deadly Ground,50000000,38590458,38590458,R,Action
Ninja Assassin,50000000,38122883,62209892,R,Action
Raising Helen,50000000,37485528,49928680,PG-13,Comedy
For Love of the Game,50000000,35188640,46112640,PG-13,Drama
Jack Frost,50000000,34645374,34645374,PG,Comedy
Marmaduke,50000000,33644788,89895930,PG,Adventure
Striptease,50000000,33109743,113309743,R,Comedy
Assassins,50000000,30306268,83306268,R,Action
Zoolander 2,50000000,28848693,55348693,PG-13,Comedy
Defiance,50000000,28644813,52987754,R,Drama
Run All Night,50000000,26461644,66961644,R,Action
Escape from L.A.,50000000,25426861,25426861,R,Action
The Life Aquatic with Steve Zissou,50000000,24006726,34806726,R,Comedy
The Iron Giant,50000000,23159305,31333917,PG,Adventure
Your Highness,50000000,21596445,26121638,R,Comedy
Snowden,50000000,21587519,34841016,R,Drama
Dream House,50000000,21302340,41642166,PG-13,Horror
Free State of Jones,50000000,20810036,23237175,R,Drama
Gamer,50000000,20534907,42002029,R,Action
Into the Blue,50000000,18782227,41982227,PG-13,Adventure
Baby's Day Out,50000000,16581575,16581575,PG,Adventure
Fair Game,50000000,11497497,26097497,R,Action
Drive Angry,50000000,10721033,41042583,R,Action
Mad City,50000000,10561038,10561038,PG-13,Drama
The Scarlet Letter,50000000,10359006,10359006,R,Drama
Domino,50000000,10169202,22969202,R,Action
Early Man,50000000,8267544,44773318,PG,Adventure
The Boat That Rocked,50000000,8017467,37472651,R,Comedy
The Big Bounce,50000000,6471394,6626115,PG-13,Comedy
What Planet Are You From?,50000000,6291602,6291602,R,Comedy
Outlander,50000000,166003,1250617,R,Adventure
Shanghai,50000000,46425,15505922,R,Drama
The One,49000000,43905746,72689126,PG-13,Action
Chappie,49000000,31569268,105002056,R,Action
The Adventures of Ford Fairlane,49000000,20423389,20423389,R,Comedy
Indiana Jones and the Last Crusade,48000000,197171806,474171806,PG-13,Adventure
The Ring,48000000,129094024,248218486,PG-13,Horror
Traffic,48000000,124107476,208300000,R,Drama
Taken 3,48000000,89256424,327656424,PG-13,Action
Three Kings,48000000,60652036,107752036,R,Action
Tooth Fairy,48000000,60022256,112610386,PG,Adventure
Rat Race,48000000,56607223,86607223,PG-13,Comedy
K-PAX,48000000,50315140,50315140,PG-13,Drama
Bedazzled,48000000,37879996,90376224,PG-13,Comedy
Out of Sight,48000000,37562568,77562568,R,Drama
The Cotton Club,48000000,25928721,25928721,,Drama
Rambo,47500000,42754105,112214531,R,Action
Dick Tracy,47000000,103738726,162738726,PG,Action
Arrival,47000000,100546139,203162211,PG-13,Drama
The Cable Guy,47000000,60240295,102825796,PG-13,Comedy
Riding in Cars with Boys,47000000,29781453,29781453,PG-13,Drama
Happily N'Ever After,47000000,15849032,37923818,PG,Adventure
Solaris,47000000,14970038,14970038,PG-13,Drama
Jonah Hex,47000000,10547117,11022696,PG-13,Action
Mary Reilly,47000000,5707094,12900000,R,Drama
Silence,46500000,7100177,23727516,R,Drama
My Best Friend's Wedding,46000000,126813153,298923419,PG,Comedy
Star Trek: First Contact,46000000,92027888,150000000,PG-13,Adventure
Courage Under Fire,46000000,59003384,100833145,R,Drama
Inchon,46000000,4408636,4408636,,Drama
Liar Liar,45000000,181410615,302710615,PG-13,Comedy
A Bug's Life,45000000,162798565,363095319,G,Adventure
The Flintstones,45000000,130531208,358500000,PG,Comedy
Scary Movie 3,45000000,110000082,155200000,PG-13,Comedy
Miss Congeniality,45000000,106807667,213420951,PG-13,Comedy
Pitch Perfect 3,45000000,104897530,185736412,PG-13,Comedy
Journey to the Center of the Earth,45000000,101704370,243180937,PG,Adventure
The Pelican Brief,45000000,100768056,187995859,PG-13,Drama
The Bucket List,45000000,93466502,174807445,PG-13,Comedy
The Client,45000000,92115211,117615211,PG-13,Drama
The Muppets,45000000,88625922,160971922,PG,Adventure
Patriot Games,45000000,83287363,178100000,R,Action
Monster-in-Law,45000000,82931301,155931301,PG-13,Comedy
Training Day,45000000,76261036,104505362,R,Drama
Galaxy Quest,45000000,71423726,90523726,PG,Adventure
Scary Movie 2,45000000,71277420,141189101,R,Comedy
Blade,45000000,70141876,131237688,R,Action
Coach Carter,45000000,67264877,76665507,PG-13,Drama
Anaconda,45000000,65598907,136998907,PG-13,Horror
Underworld: Evolution,45000000,62318875,113417762,R,Action
Coyote Ugly,45000000,60786269,113916474,PG-13,Drama
Jack,45000000,58617334,58617334,PG-13,Drama
The Specialist,45000000,57362581,57362581,R,Action
Office Christmas Party,45000000,54767494,91340376,R,Comedy
Resident Evil: Extinction,45000000,50648679,146162920,R,Action
Fat Albert,45000000,48114556,48563556,PG,Comedy
The River Wild,45000000,46815000,94215000,PG-13,Action
All Eyez on Me,45000000,44922302,54876855,R,Drama
Last Holiday,45000000,38399961,43343247,PG-13,Comedy
16 Blocks,45000000,36895141,65595141,PG-13,Action
The Indian in the Cupboard,45000000,35627222,35627222,PG,Adventure
The Ant Bully,45000000,28142535,49610898,PG,Adventure
Johnny English,45000000,28013509,163126676,PG,Adventure
Dune,45000000,27447471,27447471,,Action
Aliens in the Attic,45000000,25200412,59551283,PG,Adventure
Revolutionary Road,45000000,22951340,79604820,R,Drama
Babylon A.D.,45000000,22532572,70216497,PG-13,Action
Frankenstein,45000000,22006296,112006296,R,Horror
The Glimmer Man,45000000,20404841,36404841,R,Action
Multiplicity,45000000,20133326,20133326,PG-13,Comedy
The Pledge,45000000,19719930,29406132,R,Drama
The Phantom,45000000,17220599,17220599,PG,Action
Rebound,45000000,16809014,17492014,PG,Comedy
Nixon,45000000,13668249,34668249,R,Drama
Dredd,45000000,13414714,41467606,R,Action
The Rum Diary,45000000,13109815,21544732,R,Drama
Deep Rising,45000000,11203026,11203026,R,Action
Johnny English Reborn,45000000,8406711,164640401,PG,Adventure
Miracle at St. Anna,45000000,7916887,9676497,R,Drama
Big Trouble,45000000,7262288,8488871,PG-13,Comedy
Man cheng jin dai huang jin jia,45000000,6566773,76904429,R,Action
Love in the Time of Cholera,45000000,4617608,31077418,R,Drama
Rambo: First Blood Part II,44000000,150415432,300400000,R,Action
Sleepers,44000000,53300852,165600852,R,Drama
Charlie St. Cloud,44000000,31206263,48478084,PG-13,Drama
The Interview,44000000,6105175,12342632,R,Comedy
The Heat,43000000,159581587,229727774,R,Comedy
Finding Forrester,43000000,51768623,80013623,PG-13,Drama
28 Days,43000000,37035515,62063972,PG-13,Comedy
Danny the Dog,43000000,24537621,49037621,R,Action
A Monster Calls,43000000,3740823,46414964,PG-13,Drama
The Mechanic,42500000,29121498,76347393,R,Action
21 Jump Street,42000000,138447667,202812429,R,Comedy
Chicken Run,42000000,106793915,227793915,G,Adventure
Boomerang,42000000,70052444,131052444,R,Comedy
Brüno,42000000,60054530,138708527,R,Comedy
Cleopatra,42000000,57000000,71000000,G,Drama
Snatched,42000000,45852178,57852177,R,Comedy
Here Comes the Boom,42000000,45290318,73239258,PG,Comedy
Licence to Kill,42000000,34667015,156167015,PG-13,Action
One for the Money,42000000,26414527,36197221,PG-13,Comedy
Lord of War,42000000,24149632,60437727,R,Action
Super Mario Bros.,42000000,20844907,20844907,PG,Action
Hero,42000000,19487173,66787173,PG-13,Comedy
McHale's Navy,42000000,4408420,4408420,PG,Comedy
Micmacs,42000000,1259693,11756922,R,Comedy
8 Mile,41000000,116724075,245768384,R,Drama
A Knight’s Tale,41000000,56083966,100622586,PG-13,Adventure
The Medallion,41000000,22108977,22108977,PG-13,Comedy
The Big Year,41000000,7204138,7684524,PG,Comedy
Wedding Crashers,40000000,209218368,283218368,R,Comedy
Fifty Shades of Grey,40000000,166167230,570998101,R,Drama
Cheaper by the Dozen,40000000,138614544,190212113,PG,Comedy
Lucy,40000000,126573960,457507776,R,Action
Lone Survivor,40000000,125095601,149804632,R,Action
Back to the Future Part II,40000000,118450002,332000000,PG,Adventure
Double Jeopardy,40000000,116735231,177835231,R,Action
Spy Kids 3-D: Game Over,40000000,111760631,167851995,PG,Adventure
A Time to Kill,40000000,108766007,152266007,R,Drama
A League of Their Own,40000000,107533925,132440066,PG,Comedy
The Social Network,40000000,96962694,224922135,PG-13,Drama
Julie & Julia,40000000,94125426,126646119,PG-13,Comedy
John Wick: Chapter Two,40000000,92029184,171370497,R,Action
Ride Along 2,40000000,90862685,124827316,PG-13,Comedy
Scary Movie 4,40000000,90710620,178710620,PG-13,Comedy
Get Hard,40000000,90411453,106511453,R,Comedy
Scream 3,40000000,89138076,161838076,R,Horror
Back to the Future Part III,40000000,88055283,244088654,PG,Adventure
Dumb and Dumber To,40000000,86208010,156553592,PG-13,Comedy
Bram Stoker's Dracula,40000000,82522790,215862692,R,Horror
Eight Below,40000000,81612565,120455994,PG,Adventure
The Talented Mr. Ripley,40000000,81292135,128792135,R,Drama
The Intern,40000000,75764672,197232734,PG-13,Comedy
The Last of the Mohicans,40000000,75505856,75505856,R,Action
Ray,40000000,75305995,124823094,PG-13,Drama
Sin City,40000000,74103820,158527918,R,Action
JFK,40000000,70405498,205400000,R,Drama
Big Momma's House 2,40000000,70165972,137047376,PG-13,Comedy
Hacksaw Ridge,40000000,67209615,168940583,R,Drama
The Mexican,40000000,66808615,145238250,R,Action
The Final Destination,40000000,66477700,187384627,R,Horror
17 Again,40000000,64167069,139474906,PG-13,Comedy
Get Him to the Greek,40000000,61153526,91455875,R,Comedy
Gothika,40000000,59588068,141484812,R,Horror
Behind Enemy Lines,40000000,58855732,58855732,PG-13,Action
Invincible,40000000,57806952,58501127,PG,Drama
Escape From Planet Earth,40000000,57012977,74156610,PG,Adventure
Small Soldiers,40000000,55143823,71743823,PG-13,Adventure
Spawn,40000000,54979992,87949859,PG-13,Action
Horrible Bosses 2,40000000,54445357,105945357,R,Comedy
The Count of Monte Cristo,40000000,54228104,75389090,PG-13,Drama
The Lake House,40000000,52330111,114830111,PG,Drama
Predators,40000000,52000688,127234389,R,Action
The Odd Life of Timothy Green,40000000,51853450,55249159,PG,Drama
The Living Daylights,40000000,51185000,191200000,PG,Action
Apocalypto,40000000,50866635,121032272,R,Action
Legal Eagles,40000000,49851591,49851591,PG,Comedy
The Skeleton Key,40000000,47907715,92256918,PG-13,Horror
Jersey Boys,40000000,47047013,65282732,R,Drama
The Rainmaker,40000000,45916769,45916769,PG-13,Drama
Medicine Man,40000000,44948240,44948240,PG-13,Drama
Amistad,40000000,44212592,58250151,R,Drama
A Million Ways to Die in The West,40000000,42720965,86778557,R,Comedy
Final Destination 5,40000000,42587643,155011165,R,Horror
Aliens vs. Predator - Requiem,40000000,41797066,128884494,R,Action
The Water Horse: Legend of the Deep,40000000,40412817,103429755,PG,Drama
Sex Tape,40000000,38543473,126069509,R,Comedy
Scream 4,40000000,38180928,95989590,R,Horror
Ri¢hie Ri¢h,40000000,38087756,38087756,PG,Comedy
Autumn in New York,40000000,37752931,90717684,PG-13,Drama
Paul,40000000,37412945,101162106,R,Comedy
The Guilt Trip,40000000,37134215,41294674,PG-13,Comedy
Hanging Up,40000000,36037909,51867723,PG-13,Comedy
The Doors,40000000,34416893,34416893,R,Drama
Mickey Blue Eyes,40000000,33864342,53864342,PG-13,Comedy
Pay it Forward,40000000,33508922,55696705,PG-13,Drama
Drillbit Taylor,40000000,32862104,49686263,PG-13,Comedy
Extremely Loud and Incredibly Close,40000000,31847881,55247881,PG-13,Drama
The Shadow,40000000,31835600,31835600,PG-13,Action
Morning Glory,40000000,31011732,59795070,PG-13,Comedy
Get Rich or Die Tryin',40000000,30981850,46666955,R,Drama
Grudge Match,40000000,29807260,69807260,PG-13,Comedy
The Out-of-Towners,40000000,28544120,28544120,PG-13,Comedy
The Nut Job 2: Nutty by Nature,40000000,28370522,57465156,PG,Adventure
The Island of Dr. Moreau,40000000,27682712,27682712,PG-13,Adventure
The Musketeer,40000000,27053815,27053815,PG-13,Adventure
Resident Evil: The Final Chapter,40000000,26844692,312825686,R,Action
The Other Boleyn Girl,40000000,26814957,78269970,PG-13,Drama
The House,40000000,25584504,31192743,R,Comedy
Sweet November,40000000,25288103,65754228,PG-13,Drama
The Reaping,40000000,25126214,62226214,R,Horror
Renaissance Man,40000000,24172899,24172899,PG-13,Comedy
Quest for Camelot,40000000,22772500,38172500,G,Adventure
City by the Sea,40000000,22433915,22433915,R,Drama
At First Sight,40000000,22365133,22365133,PG-13,Drama
Torque,40000000,21176322,46176322,PG-13,Action
